State,Population,Area,Constituencies
Uttar Pradesh,199812341,243290,80
Maharashtra,112374333,307713,48
Bihar,104099452,94163,40
West Bengal,91276115,88752,42
Madhya Pradesh,72626809,308252,29
Tamil Nadu,72147030,130058,39
Rajasthan,68548437,342239,25
Karnataka,61095297,191791,28
Gujarat,60439692,196024,26
Andhra Pradesh,49577103,162970,25
Orissa,41974218,155707,21
Telangana,35003674,112077,17
Kerala,33406061,38863,20
Jharkhand,32988134,79714,14
Assam,31205576,78438,14
Punjab,27743338,50362,13
Chhattisgarh,25545198,135191,11
Haryana,25351462,44212,10
Uttaranchal,10086292,53483,5
Himachal Pradesh,6864602,55673,4
Tripura,3673917,10486,2
Meghalaya,2966889,22429,2
Manipur,2855794,22327,2
Nagaland,1978502,16579,1
Goa,1458545,3702,2
Arunachal Pradesh,1383727,83743,2
Mizoram,1097206,21081,1
Sikkim,610577,7096,1
Delhi,16787941,1484,7
Jammu and Kashmir,12267032,222236,6
Puducherry,1247953,492,1
Chandigarh,1055450,114,1
Andaman and Nicobar,380581,8249,1
Dadra and Nagar Haveli,586956,603,1
Daman and Diu,586956,603,1
Lakshadweep,64473,32,1
Ladakh,274000,59146,1
